Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-08;0100;-2.471;
2020-01-08;0200;-1.83;
2020-01-08;0300;-2.65;
2020-01-08;0400;-3.07;
2020-01-08;0500;-3.538;
2020-01-08;0600;-2.974;
2020-01-08;0700;-2.699;
2020-01-08;0800;-1.86;
2020-01-08;0900;1.346;
2020-01-08;1000;107.562;
2020-01-08;1100;483.203;
2020-01-08;1200;1202.927;
2020-01-08;1300;1204.494;
2020-01-08;1400;980.41;
2020-01-08;1500;1756.276;
2020-01-08;1600;1220.351;
2020-01-08;1700;2146.08;
2020-01-08;1800;2577.437;
2020-01-08;1900;1158.715;
2020-01-08;2000;1630.655;
2020-01-08;2100;648.594;
2020-01-08;2200;95.623;
2020-01-08;2300;-3.532;
2020-01-09;0000;-3.332;
2020-01-09;0100;-3.009;
2020-01-09;0200;-2.088;
2020-01-09;0300;-2.388;
2020-01-09;0400;-3.399;
2020-01-09;0500;-3.54;
2020-01-09;0600;-3.54;
2020-01-09;0700;-3.526;
2020-01-09;0800;-3.54;
2020-01-09;0900;-.133;
2020-01-09;1000;402.169;
2020-01-09;1100;838.706;
2020-01-09;1200;1225;
2020-01-09;1300;1999.121;
2020-01-09;1400;1980.773;
2020-01-09;1500;1241.105;
2020-01-09;1600;2501.975;
2020-01-09;1700;3422.292;
2020-01-09;1800;1654.358;
2020-01-09;1900;63.193;
2020-01-09;2000;88.387;
2020-01-09;2100;208.803;
2020-01-09;2200;51.456;
2020-01-09;2300;-3.506;
2020-01-10;0000;-3.502;
2020-01-10;0100;-3.538;
2020-01-10;0200;-3.54;
2020-01-10;0300;-3.528;
2020-01-10;0400;-3.485;
2020-01-10;0500;-3.485;
2020-01-10;0600;-3.402;
2020-01-10;0700;-1.668;
2020-01-10;0800;-.685;
2020-01-10;0900;2.316;
2020-01-10;1000;328.679;
2020-01-10;1100;1184.413;
2020-01-10;1200;1903.488;
2020-01-10;1300;2844.042;
2020-01-10;1400;3447.411;
2020-01-10;1500;3865.494;
2020-01-10;1600;3670.372;
2020-01-10;1700;3866.584;
2020-01-10;1800;3436.999;
2020-01-10;1900;2446.591;
2020-01-10;2000;1711.671;
2020-01-10;2100;480.598;
2020-01-10;2200;53.032;
2020-01-10;2300;-3.54;
2020-01-11;0000;-3.54;
2020-01-11;0100;-3.437;
2020-01-11;0200;-3.193;
2020-01-11;0300;-2.664;
2020-01-11;0400;-3.14;
2020-01-11;0500;-3.534;
2020-01-11;0600;-3.538;
2020-01-11;0700;-3.54;
2020-01-11;0800;-3.54;
2020-01-11;0900;5.262;
2020-01-11;1000;290.003;
2020-01-11;1100;1220.84;
2020-01-11;1200;2022.41;
2020-01-11;1300;2653.294;
2020-01-11;1400;3148.593;
2020-01-11;1500;3551.71;
2020-01-11;1600;4162.821;
2020-01-11;1700;3561.671;
2020-01-11;1800;3366.461;
2020-01-11;1900;2809.234;
2020-01-11;2000;1946.629;
2020-01-11;2100;1015.415;
2020-01-11;2200;165.965;
2020-01-11;2300;-3.54;
2020-01-12;0000;-3.54;
2020-01-12;0100;-3.54;
2020-01-12;0200;-3.54;
2020-01-12;0300;-3.54;
